"twitterUrl","id","text","retweet.text","retweetCount","replyCount","likeCount","quoteCount","createdAt","bookmarkCount","isRetweet","isQuote"
"https://twitter.com/_Anti_Sistema/status/1803362833679159790"," 1,803,362,833,679,150,000.00 ","@SICNoticias O maior tsunami tem sido ele desde que se agarrou ao poder desde o 25/4.","",0,0,0,0,"Wed Jun 19 09:42:59 +0000 2024",0,FALSE,FALSE
"https://twitter.com/honyess/status/1803362797159408083"," 1,803,362,797,159,400,000.00 ","@s_emre03 Araplar ananı s2kiyor 0rspu çocuğu sizlerde kendinizi fenerlilere s2ktiriyorsunuz qmına koduğumun yalama s2kilmişi.","",0,0,0,0,"Wed Jun 19 09:42:50 +0000 2024",0,FALSE,FALSE
"https://twitter.com/fortunemaine_/status/1803362735498944812"," 1,803,362,735,498,940,000.00 ","This shit is creative bro 😂😂😂","",0,0,0,0,"Wed Jun 19 09:42:35 +0000 2024",0,FALSE,TRUE
"https://twitter.com/The_Lorde_Amaka/status/1803362486541791271"," 1,803,362,486,541,790,000.00 ","One of my colleagues was asking what’s causes tsunamis.
Tell me why this my other colleague said that there is fire tsunami, that fire will be in form of liquid and be pouring from the ground 😭😭😭
No be volcanic eruption be that?","",0,0,0,0,"Wed Jun 19 09:41:36 +0000 2024",0,FALSE,FALSE
"https://twitter.com/MarcosLieba/status/1803362412390760829"," 1,803,362,412,390,760,000.00 ","Carles @KRLS se persona en el caso Tsunami Democràtic tras notificarle su imputación las autoridades francesas https://t.co/kBbiq3s9ak","",0,0,0,0,"Wed Jun 19 09:41:18 +0000 2024",0,FALSE,FALSE
"https://twitter.com/HughMunro15/status/1803362267850776806"," 1,803,362,267,850,770,000.00 ","@campbellclaret We have jumped the moral  &amp; ethical Rubicon when we promote a man who helped wirh a dodgy dossier that sent 🇬🇧 to war in far off Islamic lands, killing and maiming not only hundreds of 🇬🇧 but millions of Muslims and unleashed a tsunami of migration into Europe! 😲 https://t.co/7XP6x4SPJb","",0,0,0,0,"Wed Jun 19 09:40:44 +0000 2024",0,FALSE,FALSE
"https://twitter.com/honyess/status/1803362122862096610"," 1,803,362,122,862,090,000.00 ","@s_emre03 @Nkame7222 @UEFAcom_de @josesosaok @Trabzonspor @TrabzonsporEN Ananı araplara peşkeş cekiyorum 0rspu çocuğu gel kurtar","",0,1,1,0,"Wed Jun 19 09:40:09 +0000 2024",0,FALSE,FALSE
"https://twitter.com/minionsgamers1/status/1803361930783899860"," 1,803,361,930,783,890,000.00 ","@tsunamigabs pqp eh o dj tsunami","",0,0,0,0,"Wed Jun 19 09:39:23 +0000 2024",0,FALSE,FALSE
"https://twitter.com/honyess/status/1803361825561420278"," 1,803,361,825,561,420,000.00 ","Bu orevlatları hep mi böyle salaktı? Adam ""eyşan"" lakabını bjkye tapuladıklarını zannediyor. Kendilerinin bulduğunu zannediyor. Bi toplulukta herkes mi bu kadar salak olur qmk. Tiner kelimesinin vucut bulmuş hali beyinsinler.","",0,1,0,0,"Wed Jun 19 09:38:58 +0000 2024",0,FALSE,TRUE
"https://twitter.com/t94053_the/status/1803361692140924998"," 1,803,361,692,140,920,000.00 ","@blahblahvision Tsunami funda cloud da","",0,0,0,0,"Wed Jun 19 09:38:26 +0000 2024",0,FALSE,FALSE
"https://twitter.com/Mrme061309/status/1803361666991546623"," 1,803,361,666,991,540,000.00 ","@MarinaPurkiss The tide has turned. Expect a tsunami.","",0,0,0,0,"Wed Jun 19 09:38:20 +0000 2024",0,FALSE,FALSE
"https://twitter.com/CarbonRobot/status/1803361589589856543"," 1,803,361,589,589,850,000.00 ","@13sarahmurphy That's the Labour party and it's tsunami of promises of populist theme. Promises that will all be broken. The post Pandemic recovering economy ruined. You want competence? You'd better look elsewhere. A chancellor that can't even manage her own credit card. https://t.co/eA3VbsANNp","",0,0,0,0,"Wed Jun 19 09:38:02 +0000 2024",0,FALSE,FALSE
"https://twitter.com/IlFarosulMondo/status/1803361514633433318"," 1,803,361,514,633,430,000.00 ","#Tsunami of #resistance drowns Israel’s #warcabinet https://t.co/S7WQWHa82Z","",0,0,0,0,"Wed Jun 19 09:37:44 +0000 2024",0,FALSE,FALSE
"https://twitter.com/UnwantedTrue/status/1803361234604941744"," 1,803,361,234,604,940,000.00 ","Kolejna łódź atomowa opuszcza port w Rosji. Łódź ma na swoim pokładzie rakiety hipersoniczne. Wcześniej port  opuściła inna łódź podwodna, która ma na pokładzie 6 atomowych torped Posejdon, które mogą spowodować 3 kilometrowe tsunami i przykryć wodą 🇬🇧🇫🇷 i znaczną część 🇺🇲
#war https://t.co/3kqYYZd0Hr","",0,0,0,0,"Wed Jun 19 09:36:37 +0000 2024",0,FALSE,FALSE
"https://twitter.com/honyess/status/1803361103428149386"," 1,803,361,103,428,140,000.00 ","@s_emre03 @Nkame7222 @UEFAcom_de @josesosaok @Trabzonspor @TrabzonsporEN IANDHSJSNDHDHSJDHDHD am1na koduğumun tinercisine bak ulan aptal eyşan karakterini siz mi buldunuz ilk siz mi kullanmaya başladınız? Eyşan bir çok yerde bir çok kişi için kullanılan bir lakap. Sizin olmayan beyninizi s2kiyim","",0,1,1,0,"Wed Jun 19 09:36:06 +0000 2024",0,FALSE,FALSE
"https://twitter.com/Bluewave4/status/1803360766067720591"," 1,803,360,766,067,720,000.00 ","@Blondy123abc Well, Zululand is a racist enclave, as much as Orania is. So perhaps MK means this in a positive way","",0,0,0,0,"Wed Jun 19 09:34:46 +0000 2024",0,FALSE,FALSE
"https://twitter.com/luvelee11/status/1803360703203647856"," 1,803,360,703,203,640,000.00 ","Bayangin jadi wizone deh. Gaada istirahatnya. Era izone juga banyak badai, era ive awal debut juga gila bgt tsunami itu tsunami, eh sekarang kena lagi di le sserafim era easy yg ternyata hard sekali wkwkwkw. Lelah pol aku baca komentar. Gaada abisnya, udah mental baja nih wizone.","",0,0,0,0,"Wed Jun 19 09:34:31 +0000 2024",0,FALSE,FALSE
"https://twitter.com/DigbyStrong/status/1803360571301273933"," 1,803,360,571,301,270,000.00 ","@anainsin I thoroughly believe in free speech, but I'm now exasperated by the tsunami of excrement blanketing this platform, exasperated by trying to reason with people.","",0,0,0,0,"Wed Jun 19 09:33:59 +0000 2024",0,FALSE,FALSE
"https://twitter.com/TonyRaySurf21m/status/1803360554373034035"," 1,803,360,554,373,030,000.00 ","@benonwine It's the wrong question.","",0,0,0,0,"Wed Jun 19 09:33:55 +0000 2024",0,FALSE,FALSE
"https://twitter.com/re_tropolice619/status/1803360372713464300"," 1,803,360,372,713,460,000.00 ","#サザンの2000～2008年の曲から次回ライブで聴きたい曲を5曲まで挙げる
HOTEL PACIFIC
ごめんよ僕が馬鹿だった
太陽に吠える！！
この青い空、みどり
TSUNAMI","",0,0,0,0,"Wed Jun 19 09:33:12 +0000 2024",0,FALSE,FALSE
"https://twitter.com/North49N2N/status/1803362797083824393"," 1,803,362,797,083,820,000.00 ","@s_guilbeault @vankayak The more carbon tax we pay, the better our summer holiday will be. If provinces don’t do their jobs they can expect wild fires, tornadoes, floods, droughts…All Canadians have to follow the science. We have to get C02 levels down to , uh, what’s the target # again?","",0,0,0,0,"Wed Jun 19 09:42:50 +0000 2024",0,FALSE,FALSE
"https://twitter.com/BijoyMalakarMLA/status/1803362796010422419"," 1,803,362,796,010,420,000.00 ","Today I visit at 126 No Kurikala LP School and intaract all the flood victims who are staying in the camp and arranged all kinds of govt asst through discuss with administration.
@CMOfficeAssam @himantabiswa @Bhabesh_KalitaR @Pijush_hazarika @jayanta_malla @PmargheritaBJP https://t.co/ecs39h9gBi","",0,1,0,0,"Wed Jun 19 09:42:50 +0000 2024",0,FALSE,FALSE
"https://twitter.com/sumernet_sec/status/1803362791686021216"," 1,803,362,791,686,020,000.00 ","🌟 Key Insights from #SLF2024 🌟
1️⃣ Collaborative Efforts Needed
2️⃣ Local Knowledge for #Flood Protection
3️⃣ #Research Findings for #DecisionMaking

Stay tuned for more reflection on the SUMERNET Learning Forum 2024.
#Mekong #ClimateAction #KnowledgeCoProduction #WaterSecurity https://t.co/58SrZnr8GV","",0,0,0,0,"Wed Jun 19 09:42:49 +0000 2024",0,FALSE,FALSE
